Funktionsname,Component
GMImage.ClipPath,GraphicsMagick
GMImage.Coders,GraphicsMagick
GMImage.Colorize,GraphicsMagick
GMImage.ColorizeRGB,GraphicsMagick
GMImage.Columns,GraphicsMagick
GMImage.Compare,GraphicsMagick
GMImage.Composite,GraphicsMagick
GMImage.CompositeXY,GraphicsMagick
GMImage.Contrast,GraphicsMagick
GMImage.Copy,GraphicsMagick
GMImage.CopyChannel,GraphicsMagick
GMImage.Crop,GraphicsMagick
GMImage.CycleColormap,GraphicsMagick
GMImage.Describe,GraphicsMagick
GMImage.Despeckle,GraphicsMagick
GMImage.Directory,GraphicsMagick
GMImage.DrawArc,GraphicsMagick
GMImage.DrawCircle,GraphicsMagick
GMImage.DrawEllipse,GraphicsMagick
GMImage.DrawLine,GraphicsMagick
GMImage.DrawPath,GraphicsMagick
GMImage.DrawRectangle,GraphicsMagick
GMImage.DrawRoundRectangle,GraphicsMagick
GMImage.Edge,GraphicsMagick
GMImage.Emboss,GraphicsMagick
GMImage.Enhance,GraphicsMagick
GMImage.Equalize,GraphicsMagick
GMImage.Erase,GraphicsMagick
GMImage.ExifThumbnail,GraphicsMagick
GMImage.Extent,GraphicsMagick
GMImage.FillPattern,GraphicsMagick
GMImage.FindColorInColumn,GraphicsMagick
GMImage.FindColorInRow,GraphicsMagick
GMImage.Flatten,GraphicsMagick
GMImage.Flip,GraphicsMagick
GMImage.FloodFillColor,GraphicsMagick
GMImage.FloodFillColorXY,GraphicsMagick
GMImage.FloodFillOpacity,GraphicsMagick
GMImage.FloodFillTexture,GraphicsMagick
GMImage.FloodFillTextureXY,GraphicsMagick
GMImage.Flop,GraphicsMagick
GMImage.FontMap,GraphicsMagick
GMImage.FontTypeMetrics,GraphicsMagick
GMImage.Format,GraphicsMagick
GMImage.Frame,GraphicsMagick
GMImage.Free,GraphicsMagick
GMImage.FreeAll,GraphicsMagick
GMImage.Gamma,GraphicsMagick
GMImage.GaussianBlur,GraphicsMagick
GMImage.GaussianBlurChannel,GraphicsMagick
GMImage.Geometry,GraphicsMagick
